4;Câu 1; Chọn từ sai trong câu sau “Phân tử khối là hạt đại diện cho nguyên tố, gồm một số nguyên tử liên kết với nhau và thể hiện đầy đủ tính chất vật lí của chất”.;A. Phân tử khối;B. Vật lí;C. Liên kết;D. Đáp án A&B;C
4;Câu 2; Chọn câu đúng;A. Đơn chất và hợp chất giống nhau;B. Đơn chất là những chất cấu tạo nên từ một nguyên tố hóa học;C. Hợp chất là những chất tạo nên chỉ duy nhất với hai nguyên tố hóa học;D. Có duy nhất một loại hợp chất;B
4;Câu 3; Chọn đáp án sai;A. Kim cương và than chì đều cấu tạo từ nguyên tố C;B. Kim cương rất quý và đắt tiền;C. Than chì màu trắng trong;D. Có thể điều chế kim cương nhân tạo bởi nung than chì dưới áp suất cao, trên 6000 atm ở nhiệt độ khoảng 1500 độ C;C
4;Câu 4; Cho các chất sau đâu là đơn chất hợp chất, phân tử : O, H2, P2O5, O3, CH4, CH3COOH, Ca, Cl2;A. Hợp chất: CH4, P2O5, CH3COOH - Đơn chất: O, Ca - Phân tử: H2, Cl2;B. Hợp chất: CH4, P2O5, CH3COOH - Đơn chất: H2, Cl2 - Phân tử: O, Ca;C. Hợp chất; CH4, Ca - Đơn chất: H2 - Phân tử: Ca;D. Hợp chất:P2O5 - Đơn chất: O - Phân tử: Cl2;A
4;Câu 5; Cách viết sau có ý nghĩa gì 5 O, Na, Cl2;A. 5 nguyên tử O,nguyên tử nguyên tố Na, phân tử Cl;B. Phân tử Oxi, hợp chất natri, nguyên tố clo;C. Phân tử khối Oxi, nguyên tử Na, phân tử clo;D. 5 phân tử oxi, phân tử Na, nguyên tố clo;A
4;Câu 6; Nói như sau có đúng không ;A. Phân tử nước gồm nguyên tố hidro và oxi;B. Clo là kim loại;C. NH3 hợp chất không mùi, không màu;D. Than chì được cấu tạo tạo từ nguyên tố C Và Nước;A
4;Câu 7; Phân loại hợp chất vô cơ và hữu cơ: NH3, CH3COONa, P2O5, CuSO4, C6H12O6, than chì;A. Vô cơ: NH3, P2O5, Than chì - Hữu cơ: CH3COONa, C6H12O6;B. Vô cơ: CuSO4, NH3 - Hữu cơ: P2O5;C. Vô cơ: than chì, CuSO4, NH3, P2O5 - Hữu cơ: còn lại;D. Không có đáp án đúng;C
4;Câu 8; Tính phân tử khối của CH4 và H2O;A. CH4=16 đvC, H2O=18 đvC;B. CH4=15 đvC, H2O=17 đvC;C. CH4=H2O=18 đvC;D. Không tính được phân tử khối;A
4;Câu 9; Chọn đáp án sai:;A. Cacbon dioxit được cấu tạo từ 1 nguyên tố C và 2 nguyên tố O;B. Nước là hợp chất;C. Muối ăn không có thành phần clo;D. Có 2 loại hợp chất là vô cơ và hữu cơ;C
4;Câu 10; Phân tử khối của Cu gấp mấy lần phân tử khối Hidro;A. 4 lần;B. 2 lần;C. 32 lần;D. 62 lần;C

5;Câu 1; Chọn đáp án đúng;A. Công thức hóa học của đồng là Cu;B. 3 phân tử oxi là O3;C. CaCO3 do 2 nguyên tố Canxi, 1 nguyên tố oxi tạo thành;D. Tất cả đáp án trên;A
5;Câu 2; Ý nghĩa của công thức hóa học;A. Nguyên tố nào tạo ra chất;B. Phân tử khối của chất;C. Số nguyên tử mỗi nguyên tố có trong 1 phân tử của chất;D. Tất cả đáp án;D
5;Câu 3; Từ công thức hóa học của CuSO4 có thể suy ra được những gì;A. CuSO4 do 3 nguyên tố Cu, O, S tạo nên;B. Có 3 nguyên tử oxi trog phân tử;C. Phân tử khối là 96 đvC;D. Tất cả đáp án;A
5;Câu 4; Viết CTHH và tính phân tử khối của hợp chất có 1 nguyên tử Na, 1 nguyên tử N và 3 nguyên tử oxi trong phân tử;A. NaNO3, phân tử khối là 85;B. NaNO3, phân tử khối là 86;C. Không có hợp chất thỏa mãn;D. NaNO3, phân tử khối là 100;A
5;Câu 5; Chon đáp án sai;A. CTHH của đơn chất chỉ gồm kí hiệu hóa học của 1 nguyên tố;B. Lưu huỳnh có công thức hóa học là S2;C. Phân tử khối của CaCO3 là 100 đvC;D. Tất cả đáp án;B
5;Câu 6; 3H2O nghĩa là như thế nào;A. 3 phân tử nước;B. Có 3 nguyên tố nước trong hợp chất;C. 3 nguyên tố oxi;D. Tất cả đều sai;A
5;Câu 7; Cho kim loại M tạo ra hợp chất MSO4 .Biết phân tử khôi là 120. Xác định kim loại M;A. Magie;B. Đồng;C. Sắt;D. Bạc;A
5;Câu 8; Chọn công thức hóa học đúng nhất;A. CaSO4;B. Fe5S;C. H;D. SO3^2-;A
5;Câu 9; Công thức hóa học đúng;A. Kali sunfuro KCl;B. Canxi cacbua CaH;C. Cacbon đioxit CO2;D. Khí metin CH4;C
5;Câu 10; Chọn đáp án sai;A. CO là cacbon oxit;B. Ca là công thức hóa học của canxi;C. Al2O3 có 2 nguyên tử nhôm và 2 nguyên tử oxi trong phân tử;D. Tất cả đáp án;C

6;Câu 1; Tính hóa trị của C trong CO biết Oxi hóa trị là II;A. I;B. II;C. III;D. Không xác định;D
6;Câu 2; Biết hidroxit có hóa trị I, công thức hòa học nào đây là sai;A. NaOH;B. CuOH;C. KOH;D. Fe(OH)3;B
6;Câu 3; Bari có hóa tri II. Chọn công thức sai;A. BaSO4;B. BaO;C. BaCl;D. Ba(OH)2;C
6;Câu 4; Nguyên tử Fe có hóa trị II trong công thức nào;A. FeO;B. Fe2O3;C. Fe;D. FeCl3;A
6;Câu 5; Trong P2O5 , P hóa trị mấy;A. I;B. II;C. IV;D. V;D
6;Câu 6; Lập công thức hóa học biết hóa trị của X là I và số p = e là 13 và Y có nguyên tử khối là 35.5;A. NaCl;B. BaCl2;C. NaO;D. MgCl;A
6;Câu 7; Lập công thức hóa học của Ca(II) với OH(I);A. CaOH;B. Ca(OH)2;C. Ca2(OH);D. Ca3OH;B
6;Câu 8; Ta có một oxit tên CrO. Vậy muối của Crom có hóa trị tương ứng là;A. CrSO4;B. Cr(OH)3;C. Cr2O3;D. Cr2(OH)3;A
6;Câu 9; Cho hợp chất của X là XO và Y là Na2Y. Công thức của XY là;A. XY;B. X2Y;C. X3Y;D. Tất cả đáp án.;A
6;Câu 10; Chọn câu sai;A. Hóa tri là con số biểu thị khả năng liên kết của nguyên tử nguyên tố này với nguyên tử nguyên tố kia;B. Hoá trị của một nguyên tố được xác định theo hóa trị của H chọn làm đơn vị và hóa trị của oxi là 2 đơn vị;C. Quy tắc hóa trị : x.a=y.b;D. Photpho chỉ có hóa trị IV;D

7;Câu 1; Hiện tượng vật lý là;A. Hiện tượng chất bến đổi mà vẫn giữ nguyên là chất ban đầu;B. Hiện tượng chất bến đổi có tạo ra chất khác;C. Hòa tan nước muối;D. Đốt cháy KMnO4;A
7;Câu 2; Hiện tượng hóa học là;A. Hiện tượng chất bến đổi mà vẫn giữ nguyên là chất ban đầu;B. Hiện tượng chất bến đổi có tạo ra chất khác;C. 4Na+O2 → 2Na2O;D. Cho đường hòa tan với nước muối;B
7;Câu 3; Dấu hiệu chính để phân biệt hiện tương vật lý và hiện tượng hóa học;A. Sự thay đổi về màu sắc của chất;B. Sự xuất hiện chất mới;C. Sự thay đổi về trạng thái của chất;D. Sự thay đổi về hình dạng của chất;B
7;Câu 4; Hiên tượng nào sau đây là hiện tượng vật lý...a. Hiện tượng thủy triều...b. Băng tan...c. Nến cháy bị nóng chảy...d. Nước chảy đá mòn...e. Đốt cháy lưu huỳnh sinh ra khí lưu hình đioxit;A. Tất cả đáp án;B. a,b,c;C. a,b;D. c,d,e;C
7;Câu 5; Hướng dẫn giải hiện tượng để thức ăn lâu ngày bị thiu;A. Hiện tượng vật lý vì nhiệt độ;B. Thức ăn đổi màu;C. Có mùi hôi;D. Hiện tượng hóa học vì bị các vi khuẩn hoạt sinh gây thối rữa;D
7;Câu 6; Chọn câu sai;A. Xay tiêu là hiện tượng vật lý;B. Đốt cháy đường mía là hiện tượng hóa học;C. Gấp quần áo là hiện tượng hóa học;D. Hiện tượng “ ma trơi” là hiện tượng hóa học;C
7;Câu 7; Cho biết hiện tượng hóa học...a. Dưa muối lên men...b. Đốt cháy Hidro trong không khí...c. Hiệu ứng nhà kính làm Trái Đất nóng lên...d. Mưa axit...e. Vào mùa hè bang ở 2 cực tan chảy;A. a,b,c,d;B. tất cả đáp án;C. a, b,d;D. e;A
7;Câu 8; Khi trời lạnh ta thấy mỡ bị đóng thành ván. Đun nóng các ván mỡ tan chảy. Nếu đun quá lửa sẽ có 1 phần hóa hơi và một phần cháy đen. Chọn câu đúng;A. Khi trời lạnh mỡ đóng thành ván là hiện tượng vật lý;B. Đun nóng mỡ bị cháy đen là hiện tượng vật lý;C. Mỡ tan chảy khi đun nóng là hiện tượng hóa học;D. Không có hiện tượng xảy ra;A
7;Câu 9; Trong các hiện tượng sau, hiện tương vật lý là;A. Đường cháy thành than;B. Cơm bị ôi thiu;C. Sữa chua lên men;D. Nước hóa đá dưới 0 độ C;D
7;Câu 10; Hiện tượng hóa học;A. Cơm bị ôi thiu;B. Rửa rau bằng nước lạnh;C. Cầu vồng xuất hiện sau mưa;D. Quá trình quang hợp;A

8;Câu 1; Dấu hiệu của phản ứng hóa học;A. Thay đổi màu sắc;B. Tạo chất bay hơi;C. Tạo chất kết tủa;D. Tất cả đáp án;D
8;Câu 2; Trong các quá trình sau, quá trình nào có phản ứng hóa học...a. Đốt cháy than trong không khí...b. Làm bay hơi nước muối biển trong quá trình sản xuất muối...c. Nung vôi...d. Tôi vôi...e. Iot thăng hoa;A. a,b,c;B. b,c,d,e;C. a,c,d;D. Tất cả đáp án;C
8;Câu 3; Phản ứng hóa học là;A. Quá trình kết hợp các đơn chất thành hợp chất;B. Quá trình biến đổi chất này thành chất khác;C. Sự trao đổi của 2 hay nhiều chất ban đầu để tạo chất mới;D. Là quá trình phân hủy chất ban đầu thành nhiều chất;B
8;Câu 4; Cho phản ứng giữa khí nito và khí hidro trong điều kiện nhiệt độ thích hợp sinh ra khí ammoniac. Chọn đáp án đúng;A. Tỉ lệ giữa khí nito và hidro là 1:3;B. Tỉ lệ giữa khí hidro và nito là 1:2;C. Tỉ lệ của nito và ammoniac là 1:2;D. Không có đáp án đúng;C
8;Câu 5; Chọn đáp án đúng ...Thả một mảnh sắt vào dung dịch axit clohidric thấy sinh ra khí;A.Khí đó là khí clo;B.Khí cần tìm là khí hidro;C.Thấy có nhiều hơn một khí;D.Không xác định;B
8;Câu 6; Chọn đáp án sai;A. Hidro + oxi → nước;B. Canxi cacbonat→ canxi oxit + khí cacbonic;C. Natri + clo → natri clorua;D. Đồng + nước → đồng hidroxit;D
8;Câu 7; Khẳng định đúng...Trong 1 phản ứng hóa học, các chất phản ứng và sản phẩn phải chứa;A. Số nguyên tử trong mỗi chất;B. Số nguyên tử mỗi nguyên tố;C. Số nguyên tố tạo ra chất;D. Số phân tử của mỗi chất;B
8;Câu 8; Cho kim loại natri (Na) vào khí clo (Cl2). Sản phẩm tạo thành là;A. Sinh ra khí clo;B. Sản phẩm là NaCl2;C. Sinh ra nước muối NaCl;D. Na2Cl;C
8;Câu 9; Chọn câu trả lời đúng;A. Sắt + lưu huỳnh thành sắt (II) sunfua;B. Sắt + Clo thành sắt(II) clorua;C. Sắt + lưu huỳnh thành sắt (III) sunfat;D. Sắt + axit clohidric thành sắt (III) clorua;A
8;Câu 10; Trong các trường hợp sau, trường hợp không là phương trình hóa học;A. Rượu để trong chai không kín bị cạn dần;B. Sắt cho tác dụng với oxi tạo ra khí SO2;C. Natri cháy trong không khí thành Na2O;D. Tất cả đáp án;A

9;Câu 1; Điền từ còn thiếu vào chỗ trống “ Trong 1 phản ứng hóa học ..... khối lượng của các chất sản phẩm bằng tổng khối lượng của các chất tham gia phản ứng”;A. Tổng;B. Tích;C. Hiệu;D. Thương;A
9;Câu 2; Chọn khẳng định sai về phản ứng hóa học?;A. Trong phản ứng hóa học chỉ có liên kết giữa các nguyên tử thay đổi làm phân tử này biến đổi thành phân tử khác.;B. Sự thay đổi liên kết giữa các nguyên tử chỉ liên quan đến electron.;C. Sự thay đổi liên kết giữa các nguyên tử chỉ liên quan đến nơtron.;D. Số nguyên tử nguyên tố được giữ nguyên sau phản ứng.;C
9;Câu 3; Chọn đáp án đúng;A. Tổng khối lượng sản phẩm bằng tổng khối lượng các chất tham gia phản ứng;B. Tổng khối lượng sản phẩm nhỏ hơn tổng khối lượng các chất tham gia phản ứng;C. Tổng khối lượng sản phẩm lớn hơn tổng khối lượng các chất tham gia phản ứng;D. Tổng khối lượng sản phẩm nhỏ hơn hoặc bằng tổng khối lượng các chất tham gia phản ứng;A
9;Câu 4; Cho 9 (g) nhôm cháy trong không khí thu được 10,2 g nhôm oxit. Tính khối lượng oxi;A. 1,7 g;B. 1,6 g;C. 1,5 g;D. 1,2 g;D
9;Câu 5; Cho sắt tác dụng với axit clohidric thu được 3, 9 g muối sắt và 7,2 g khí bay lên. Tổng khối lượn chất phản ứng;A. 11,1 g;B. 12,2 g;C. 11 g;D. 12,22;A
9;Câu 6; Vì sao khi Mg + HCl thì m_MgCl2 < m_Mg + m_HCl;A. Vì sản phẩn tạo thành còn có khí hidro;B. m_Mg= m_MgCl2;C. HCl có khối lượng lớn nhất;D. Tất cả đáp án;A
9;Câu 7; Nung đá vôi thu được vôi sống và khí cacbonic. Kết luận nào sau đây là đúng;A. Khối lượng đá vôi bằng khối lượng vôi sống;B. Khối lượng đá vôi bằng khối lượng khí;C. Khối lượng đá vôi bằng khối lượng khí cacbonic cộng với khối lượng vôi sống;D. Không xác định;C
9;Câu 8; Vì sao nung đá vôi thì khối lượng giảm;A. Vì khi nung vôi sống thấy xuất hiện khí cacbonic hóa hơi;B. Vì xuất hiện vôi sống;C. Vì có sự tham gia của oxi ;D None ;A
9;Câu 9; Cho mẩu magie phản ứng với dung dịch axit clohidric. Chon đáp án sai;A.Tổng khối lượng chất phản ứng lớn hơn khối lượng khí hidro;B.Khối lượng của magie clorua nhỏ hơn tổng khối lượng chất phản ứng;C.Khối lượng magie bằng khối lượng hidro;D.Tổng khối lượng của các chất phản ứng bằng tổng khối lượng chất sản phẩm;C
9;Câu 10; Tính khối lượng của vôi sống thu được biết nung 12g đá vôi thấy xuất hiện 2,24l khí cacbonic.;A. 7,6 kg;B. 3 mg;C. 3 g;D. 5,6 g;D

10;Câu 1; Chọn đáp án đúng;A. Phương trình hóa học biểu diễn ngắn gọn phản ứng hóa học;B. Có 2 bước để lập phương trình hóa học;C. Chỉ duy nhất 2 chất tham gia phản ứng tạo thành 1 chất sản phẩm mới gọi là phương trình hóa học;D. Quỳ tím dùng để xác định chất không là phản ứng hóa học;A
10;Câu 2; Chọn đáp án sai;A. Có 3 bước lập phương trình hóa học;B. Phương trình hóa học biểu diễn ngắn gọn phản ứng hóa học;C.Dung dich muối ăn có CTHH là NaCl;D.Ý nghĩa của phương trình hóa học là cho biết nguyên tố nguyên tử;D
10;Câu 3; Viết phương trình hóa học của kim loại sắt tác dụng với dung dịch axit sunfuric loãng biết sản phẩm là sắt (II) suafua và có khí bay lên;A.Fe + H2SO4 → FeSO4 + H2;B.Fe + H2SO4 → Fe2SO4 + H2;C.Fe + H2SO4 → FeSO4 + S2;D.Fe + H2SO4 → FeSO4 + H2S;A
10;Câu 4; CaCO3 + X → CaCl2 + CO2 + H2O. X là?;A. HCl;B. Cl2;C. H2;D. HO;A
10;Câu 5; Phương trình đúng của photpho cháy trong không khí, biết sản phẩm tạo thành là P2O5;A. P + O2 → P2O5;B. 4P + 5O2 → 2P2O5;C. P + 2O2 → P2O5;D. P + O2 → P2O3;B
10;Câu 6; Tỉ lệ hệ số tương ứng của chất tham gia và chất tạo thành của phương trình sau: Fe + 2HCl → FeCl2 + H2;A. 1:2:1:2;B. 1:2:2:1;C. 2:1:1:1;D. 1:2:1:1;D
10;Câu 7; Nhìn vào phương trình sau và cho biết tỉ số giữa các chất tham gia phản ứng  2NaOH + CuSO4 → Cu(OH)2 + Na2SO4;A. 1:1;B. 1:2;C. 2:1;D. 2:3;C
10;Câu 8; Tìm A , Ca(HCO3) (t0)→ CaCO3 + CO2 + A;A. H2O;B. H2;C. HCO3;D. CO;A
10;Câu 9; Điền chất cần tìm và hệ số thích hợp FeO + CO → X + CO2;A. Fe2O3 & 1:2:3:1;B. Fe & 1:1:1:1;C. Fe3O4 & 1:2:1:1;D. FeC & 1:1:1:1;B
10;Câu 10; Al + CuSO4 → Alx(SO4)y + Cu. Tìm x, y;A. x=2, y=3;B. x=3,y=4;C. x=1, y=2;D. x=y=1;A

11;Câu 1; Số Avogadro và kí hiệu là;A. 6.1023, A;B. 6.10-23, A;C. 6.1023 , N;D. 6.10-24, N;A
11;Câu 2; Tính số nguyên tử của 1,8 mol Fe;A. 10,85.1023 nguyên tử;B. 10,8.1023 nguyên tử;C. 11.1023 nguyên tử;D. 1,8.1023 nguyên tử;B
11;Câu 3; Khối lượng mol chất là;A. Là khối lượng ban đầu của chất đó;B. Là khối lượng sau khi tham gia phản ứng hóa học;C. Bằng 6.1023;D. Là khối lượng tính bằng gam của N nguyên tử hoặc phân tử chất đó;D
11;Câu 4;Cho biết 1 mol chất khí ở điều kiện bình thường có thể tích là;A. 2,24 l;B. 0,224 l;C. 22,4 l;D. 22,4 ml;C
11;Câu 5; Tính thể tích ở đktc của 2,25 mol O2;A. 22,4 l;B. 24 l;C. 5,04 l;D. 50,4 l;D
11;Câu 6; Số mol của H2 ở đktc biết V= 5,6 l;A. 0,25 mol;B. 0,3 mol;C. 0,224 mol;D. 0,52 l;A
11;Câu 7; Thể tích mol là;A. Là thể tích của chất lỏng;B. Thể tích của 1 nguyên tử nào đó;C. Thể tích chiếm bởi N phân tử của chất khí đó;D. Thể tích ở đktc là 22,4 l;C
11;Câu 8; Số mol của kali biết có 6.1023 nguyên tử kali;A. 1 mol;B. 1,5 mol;C. 0,5 mol;D. 0,25 mol;A
11;Câu 9; Chọn đáp án sai:;A. Khối lượng của N phân tử CO2 là 18 g;B. mH2O = 18 g/mol;C. 1 mol O2 ở đktc là 24 l;D. Thể tích mol của chất khí phải cùng nhiệt độ và áp suất;C
11;Câu 10; 1 mol N2 có V = 22,4 l. Hỏi 8 mol N2 thì cố V = ?. Biết khí đo ở đktc;A. 179,2 l;B. 17,92 l;C. 0,1792 l;D. 1,792 l;A

12;Câu 1; Cho phương trình sau, tính khối lượng chất tạo thành biết 2,3 g Na 4Na + O2 → 2Na2O;A. 0,31 g;B. 3 g;C. 3,01 g;D. 3,1 g;D
12;Câu 2; Cho Fe + H2SO4 → FeSO4 + H2. Tính VH2 biết mFe = 15,12 g;A. 6,048 l;B. 8,604 l;C. 5,122 l;D. 2,45 l;A
12;Câu 3; Chọn đáp án đúng: Số mol của 12g O2, 1,2 g H2, 14 g N2;A. 0,375 mol; 0,6 mol; 0,5 mol;B. 0,375 mol; 0,5 mol; 0,1 mol;C. 0,1 mol; 0,6 mol; 0,5 mol;D. O,5 mol; 0,375 mol; 0,3 mol;A
12;Câu 4; Thể tích của CH4 ở đktc khi biết m = 96 g;A. 134,4 ml;B. 0,1344 ml;C. 13,44 ml;D. 1,344 ml;B
12;Câu 5; Số mol nguyên tử C trong 44 g CO2;A. 2 mol;B. 1 mol;C. 0,5 mol;D. 1,5 mol;B
12;Câu 6; Nếu 2 chất khác nhau nhưng có ở cùng nhiệt độ và áp suất, có thể tích bằng nhau thì;A. Cùng khối lượng;B. Cùng số mol;C. Cùng tính chất hóa học;D. Cùng tính chất vật lí;B
12;Câu 7; Cho m_Ca = 5 g, m_CaO = 5,6 g. Kết luận đúng;A. n_Ca > n_CaO;B. n_Ca < n_CaO;C. n_Ca = n_CaO;D. V_Ca = V_CaO;A
12;Câu 8; Cho n_N2 = 0,9 mol và m_Fe = 50,4 g. Kết luận đúng;A. Cùng khối lượng;B. Cùng thể tích;C. Cùng số mol;D.m_Fe < m_N2;C
12;Câu 9; Phải cần bao nhiêu mol nguyên tử C để có 2,4.1023 nguyên tử C;A. 0,5 mol;B. 0,55 mol;C. 0,4 mol;D. 0,45 mol;C
12;Câu 10; Số mol của 19,6 g H2SO4;A. 0,2 mol;B. 0,1 mol;C. 0,12 mol;D. 0,21 mol;A

13;Câu 1; Khí nào nặng nhất trong các khí sau;A. CH4;B. CO2;C. N2;D. H2;B
13;Câu 2; Khí A có dA/kk > 1 là khí nào;A. H2;B. N2;C. O2;D. NH3;C
13;Câu 3; Có thể thu khí N2 bằng cách nào;A. Đặt đứng bình;B. Đặt úp bình;C. Đặt ngang bình;D. Cách nào cũng được;B
13;Câu 4; Cho X có dX/kk = 1,52. Biết chất khí ấy có 2 nguyên tố Nitơ;A. CO;B. NO;C. N2O;D. N2;C
